Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Nearly Invisible,14,Trey Lenox,6-3,220,Sr,27,2,37.1,78.3,10.8,10.2,38.6,39.7,1.7,11,11.4,25.8,0.6,2.8,4.3,2,31.6,8,18,0.444,10,22,0.455,8,35,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2020,39754
Benchwarmer,11,Tobias Cameron,6-5,210,So,21,NA,8.4,109.5,21,18.2,52.2,60.2,8.9,20.2,20.2,23.6,1.3,2.5,8.3,4.1,47.8,10,11,0.909,9,12,0.75,2,11,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2020,41645
Go-to Guys,12,Lavelle Scottie,6-7,225,Sr,31,31,78.3,96.5,28.8,31,49.5,52,4.2,15.5,15.5,16,0.7,1.6,2.5,5,30.6,83,127,0.654,159,328,0.485,31,87,0.356,427,NA,93,51,NA,NA,NA,36,NA,NA,NA,NA,497,282,NA,NA,NA,NA,National Rank,Air Force,2020,39191
Major Contributor,11,Ameka Akaya,6-6,215,Jr,16,NA,10.3,95.4,24.2,24.4,57,60.7,3.8,10.6,10.6,26.2,1.1,1.8,5.6,3.6,23.3,9,10,0.9,20,37,0.541,3,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,40107
Significant Contributor,10,AJ Walker,6-2,191,So,31,28,75.8,102.4,20.7,21.2,53.3,56.3,0.5,20.4,20.4,19.1,0.4,1.5,3.3,3.5,28.5,58,78,0.744,74,156,0.474,48,118,0.407,NA,NA,NA,NA,35,382,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,125,National Rank,Air Force,2020,43668
Significant Contributor,34,Ryan Swan,6-8,240,Sr,31,28,67.2,116,23.5,23.6,58.1,60.6,9.9,14.8,14.8,13.9,1,1.8,3.8,4.7,40.6,77,110,0.7,102,171,0.596,37,100,0.37,NA,184,NA,NA,99,117,232,NA,NA,395,NA,NA,NA,356,305,NA,165,378,National Rank,Air Force,2020,39590
Role Player,3,Sid Tomes,6-4,200,Sr,31,24,64.8,107.5,16.1,15.7,46,53,2.1,17.4,17.4,14.8,1,1.4,3.9,3.3,39.7,59,69,0.855,29,58,0.5,34,116,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,88,NA,NA,National Rank,Air Force,2020,39645
Role Player,0,Caleb Morris,6-4,185,Sr,30,20,63.4,111.1,16.1,17.4,58.2,60.7,1.2,11.6,11.6,15.1,0.2,1.6,2.3,3.2,33,45,62,0.726,30,63,0.476,53,125,0.424,NA,389,NA,NA,93,114,NA,NA,NA,NA,NA,NA,327,NA,NA,NA,NA,68,National Rank,Air Force,2020,38239
Role Player,5,Chris Joyce,6-5,193,Jr,28,13,49.4,95.6,18,17.3,51.4,54.5,3.6,12.5,12.5,23.2,0.5,0.8,2.5,3,27.4,30,40,0.75,27,54,0.5,32,92,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Air Force,2020,40339
Role Player,24,Mason Taylor,6-4,190,Fr,21,NA,14.7,94.1,16.1,15.2,65.8,65.8,0,10.8,10.8,31.6,0,1.6,2.4,2.4,21.1,5,8,0.625,10,16,0.625,10,22,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,46733
Role Player,15,Abe Kinrade,6-7,200,So,26,2,13.6,125.5,16.9,15.6,58.3,65.5,9.4,9.4,9.4,14.3,0.8,1.7,5.7,4,52.8,17,19,0.895,15,22,0.682,4,14,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,43667
Limited Role,44,Keaton Van Soelen,6-7,195,Jr,29,8,35.6,110.4,14,11.8,48.6,54.1,7.4,10.3,10.3,15,3.7,0.5,5,3.6,62.5,31,45,0.689,26,54,0.481,6,18,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,41034
Nearly Invisible,13,LeSean Brown,6-2,185,Sr,26,1,15.6,79.8,10.3,7.5,40,44.1,0.6,13,13.3,32.1,0.7,0.6,4.6,2,40,5,8,0.625,5,16,0.312,2,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,39198
Benchwarmer,4,Carter Murphy,6-4,190,Fr,11,NA,3.6,116.2,19.4,21,46.1,53.6,0,20.9,20.9,6.7,0,5.2,1.8,4.5,46.1,5,6,0.833,0,1,0,4,12,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,46728
Benchwarmer,20,Isaac Monson,6-9,205,So,10,NA,3.4,79.7,14.8,6.9,62.5,67.8,5.8,4.2,4.2,46.8,0,0,3.8,3.5,100,3,4,0.75,1,2,0.5,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,43677
Benchwarmer,22,Nikc Jackson,6-8,195,Fr,10,NA,2.3,107.3,28.8,23.3,50,50.9,17.3,7.5,7.5,7.2,0,4.2,7.1,10,111.1,5,10,0.5,3,7,0.429,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2020,46726
Major Contributor,1,Loren Cristian Jackson,5-8,150,Jr,29,29,86.4,123.7,26.7,27.7,58.7,63.8,2.1,29,29.2,14.5,0.1,1.5,2.8,5.5,37.9,131,150,0.873,96,192,0.5,91,204,0.446,101,35,212,201,77,29,NA,NA,97,488,NA,NA,NA,149,4,52,NA,2,National Rank,Akron,2020,39209
Major Contributor,4,Tyler Cheese,6-5,202,Sr,28,19,75,107.4,27.9,27.4,48.8,54.8,6,23.7,23.7,17.4,1,1.9,3.5,5.6,39.1,110,133,0.827,106,223,0.475,40,117,0.342,NA,NA,141,236,NA,NA,NA,NA,241,NA,NA,NA,NA,115,354,176,NA,NA,National Rank,Akron,2020,43655
Significant Contributor,20,Xeyrius Williams,6-9,215,Sr,29,29,79.7,102.7,23.1,27.5,46.3,50.5,6.2,8.6,8.6,13.1,2.4,1.5,3,3.7,20.1,66,73,0.904,75,159,0.472,62,204,0.304,37,NA,NA,221,NA,NA,NA,57,NA,294,NA,NA,NA,NA,NA,13,NA,NA,National Rank,Akron,2020,30401
Role Player,5,Camron Reece,6-7,228,Jr,28,10,38.7,100,19.9,16.2,60.6,61.4,10,3.2,3.2,26.2,2.5,0.6,6.5,4.7,56.7,36,59,0.61,63,104,0.606,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2020,46651
Role Player,23,Jaden Sayles,6-9,235,Jr,24,NA,10.7,108.5,17.5,16.9,46.7,53.2,8.3,1.6,1.6,10.5,4.8,0.5,2.9,5.2,66.7,14,20,0.7,14,30,0.467,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2020,40744
Limited Role,11,Channel Banks,6-4,188,Sr,29,29,80.1,109.9,15.2,17.9,54,56.1,1.2,8.5,8.5,12.5,0.8,1.8,2.7,3,26.9,44,64,0.688,31,70,0.443,65,168,0.387,349,453,NA,NA,298,404,NA,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,239,National Rank,Akron,2020,43573
Limited Role,2,Greg Tribble,6-1,192,Fr,29,NA,40.6,86.1,12.6,10,48.5,47.9,1.7,11,11.4,25.9,0.6,0.8,4.4,3.2,58.2,17,39,0.436,28,57,0.491,3,10,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2020,46652
Nearly Invisible,10,Deng Riak,6-10,220,Sr,29,20,53.6,98.9,11.1,9,50,54.9,7.6,3.1,3.1,25.7,3.5,0.9,4.8,2.5,43.8,26,35,0.743,37,68,0.544,2,12,0.167,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,303,NA,NA,NA,NA,NA,443,NA,National Rank,Akron,2020,30461
Nearly Invisible,24,Ali Ali,6-8,206,Fr,29,9,27.8,72.2,9.7,5.9,38.9,42.5,4.6,7.8,7.8,41.8,0.3,1.4,2.9,1.9,37,6,10,0.6,6,15,0.4,3,12,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2020,46648
Benchwarmer,22,Mikal Dawson,6-5,220,Fr,17,NA,6.5,54.7,14.3,11.2,16.7,21.6,10.7,2.2,2.2,31.8,1.3,0.8,4.8,2.6,33.3,2,4,0.5,2,5,0.4,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2020,47229
Major Contributor,2,Kira Lewis,6-3,165,So,31,31,92.6,107.9,24.8,24.8,52,55.9,2.3,27.7,27.7,20,1.5,2.5,2.8,4.1,29.1,105,131,0.802,150,296,0.507,56,154,0.364,16,NA,364,452,457,42,NA,NA,122,NA,NA,377,NA,NA,NA,28,NA,429,National Rank,Alabama,2020,42334
Significant Contributor,5,Jaden Shackelford,6-3,195,Fr,31,19,72.3,113.5,21.6,25.3,53.1,56.7,4.4,9.4,9.4,12,0.6,1,2.3,4.2,31.3,86,112,0.768,64,123,0.52,84,235,0.357,NA,266,NA,393,375,339,NA,NA,NA,18,NA,NA,322,NA,NA,458,NA,5,National Rank,Alabama,2020,45563
Significant Contributor,11,James Bolden,6-0,160,Sr,27,3,46.9,97.1,20.4,22.1,43.8,49.4,4,9.6,9.6,18.3,0.7,1.4,5.8,3.8,30.1,51,61,0.836,26,81,0.321,42,122,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama,2020,38812
Role Player,23,John Petty,6-5,184,Jr,29,28,77.1,111.1,19.4,19.9,60.3,61.6,4.1,14,14,20.9,1.9,1.8,2.2,3.4,28.6,58,86,0.674,54,108,0.5,85,193,0.44,469,388,NA,NA,55,71,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,33,National Rank,Alabama,2020,40913
Role Player,1,Herbert Jones,6-7,205,Jr,27,26,56.8,103.9,17.6,13.8,48.7,52.9,8,15.1,15.1,20.9,2.6,2.5,5.4,4.6,68,65,104,0.625,73,139,0.525,1,14,0.071,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,482,393,NA,4,NA,NA,NA,NA,National Rank,Alabama,2020,40666
Role Player,3,Alex Reese,6-9,245,Jr,31,26,56.3,98.7,19.4,22.1,49.6,51.4,4.8,8.6,8.6,18.3,4.1,1,3.1,2.9,19.8,32,48,0.667,44,72,0.611,51,171,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,114,NA,National Rank,Alabama,2020,40090
Role Player,0,Javian Davis,6-9,242,Fr,31,14,39.4,110.1,17.9,13.1,60.4,61.8,9.6,5.1,5.1,20.1,2.5,2,6.1,6,103,64,104,0.615,58,93,0.624,2,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2020,42332
Role Player,12,Jaylen Forbes,6-4,186,Fr,30,1,24.8,85.8,17,15.4,40,44.8,6.3,7.4,7.4,24.8,0.6,0.8,5.8,3.5,40,20,30,0.667,12,19,0.632,12,56,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2020,45564
Limited Role,30,Galin Smith,6-9,240,Jr,31,7,32,96.5,14.2,11.2,55.7,53.1,10.3,3,3,23,5.7,0.4,7.2,3.7,64.3,19,45,0.422,39,68,0.574,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2020,40624
Major Contributor,13,Cameron Alford,6-1,200,Fr,30,28,71,86,27.3,28.3,39.5,44.8,2.3,17.9,17.9,16.2,0.2,2.5,3.1,5.1,36.9,91,128,0.711,101,250,0.404,24,97,0.247,NA,NA,162,161,NA,NA,NA,256,NA,NA,NA,366,NA,245,443,NA,NA,NA,National Rank,Alabama A&M,2020,46029
Significant Contributor,10,Garrett Hicks,6-0,160,Fr,30,29,74.2,96.5,20.1,23.7,45.4,49,2.2,11,11.5,12.2,0.1,1.9,2.3,3.1,22,53,67,0.791,66,154,0.429,48,150,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,32,NA,NA,328,NA,NA,National Rank,Alabama A&M,2020,46032
Significant Contributor,0,TJ Parham,6-7,210,Sr,29,14,47.9,74.3,22.1,25.1,32.2,35.8,5.9,7.4,7.4,14.9,0.6,1.7,5,3.1,19.7,29,41,0.707,37,118,0.314,20,90,0.222,NA,NA,NA,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2020,41641
Significant Contributor,5,Jalen Johnson,6-7,215,Fr,30,8,36.4,92.3,22.6,21.8,46,48.6,9.2,4,4,15.1,3.7,1.4,4.4,5.1,51.8,40,71,0.563,63,137,0.46,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,46035
Role Player,3,Cameron Tucker,6-1,170,Fr,30,30,76.4,87.4,19,14.9,40.6,48.3,2.8,25,25.1,26.6,0.7,1.6,2.4,3.7,49.2,75,97,0.773,56,138,0.406,16,59,0.271,5,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,433,NA,159,42,NA,NA,National Rank,Alabama A&M,2020,46037
Role Player,15,EJ Williams,6-10,275,Fr,30,27,44.6,89.1,19.3,17.5,50.4,51.2,5.2,9.3,9.3,21.6,3,0.5,4.6,4,46.7,33,63,0.524,68,135,0.504,0,0,0,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2020,46027
Role Player,30,Brandon Houston,6-7,240,Jr,30,NA,22.7,95.5,19.6,18.9,55.4,58,6.1,5.6,5.6,23.6,0.4,0.4,5.9,3.4,32.4,17,24,0.708,41,72,0.569,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,40202
Limited Role,2,Brandon Miller,6-0,170,Jr,30,3,58.3,83.2,13.2,14.5,41.4,43.4,2.2,10.5,10.5,19.7,0.5,2,2.8,1.7,12.3,13,18,0.722,23,59,0.39,25,87,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2020,40210
Limited Role,24,Evan Wiley,6-6,210,Sr,30,10,37.6,102.3,14.3,15.1,51.5,52.3,6.7,8.8,8.8,15,1,1.5,4,2.4,25.5,14,25,0.56,22,51,0.431,19,47,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,38607
Benchwarmer,34,Walter Jones,6-5,180,Sr,9,NA,9.3,78,14.4,12.5,37.5,40.1,5.6,3.7,3.7,17.8,2.9,4.1,5,3.8,65,6,13,0.462,6,13,0.462,1,7,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,32000
Benchwarmer,22,Gerron Scissum,6-8,210,Sr,13,1,9.2,62.2,24.1,26.4,28.6,29.3,8.4,10.3,10.3,19.3,4.9,0,3.6,2.6,11.9,2,5,0.4,12,37,0.324,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,32049
Benchwarmer,12,Brandon Powell,6-4,205,So,15,NA,5.9,31.9,5.7,4.9,20,20,1.5,0,0,42.6,3.1,0.8,6.2,0.8,0,0,0,0,1,4,0.25,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,43510
Benchwarmer,35,Tremere Brown,6-8,210,Fr,13,NA,4.5,81.5,19.4,11.6,66.7,59.8,5.8,0,0,32.9,6,0,6.7,5.9,122.2,5,11,0.455,6,9,0.667,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2020,46024
Significant Contributor,5,Tobi Ewuosho,6-5,200,Sr,32,30,74.8,94.7,23.8,22.6,52,56.1,5.2,11.9,11.9,24,1,2,3.4,5,45.3,96,135,0.711,116,235,0.494,26,63,0.413,NA,NA,477,NA,454,406,NA,338,NA,NA,NA,NA,NA,258,215,NA,NA,NA,National Rank,Alabama St.,2020,41644
Significant Contributor,14,Brandon Battle,6-8,215,Jr,32,23,49.2,86,22.6,21.1,42.1,45.3,10.3,3.5,3.5,17.5,1.9,0.7,4.9,6,65,63,119,0.529,77,181,0.425,0,2,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,National Rank,Alabama St.,2020,46940
Significant Contributor,2,Kevin Holston,6-1,195,Jr,29,7,32.1,85.6,23.1,19.4,50,52.5,0.8,24.7,24.7,29.8,1.9,3,5.5,4.8,48.2,32,53,0.604,25,60,0.417,20,50,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,43424
Significant Contributor,12,Decardo Day,6-5,180,Sr,20,13,30.2,59.2,23.7,18.2,35,38.6,2.9,14.7,14.7,38.2,0.3,1.2,3.7,4.3,42.3,22,41,0.537,22,64,0.344,8,33,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,38456
Role Player,1,Leon Daniels,6-5,195,Sr,32,28,68.8,97,19.8,21.5,45.2,49.8,5.6,10.1,10.1,15.9,1.1,1.8,3.1,4.2,37.2,70,97,0.722,46,115,0.4,48,146,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,NA,NA,NA,National Rank,Alabama St.,2020,43913
Role Player,10,Jacoby Ross,5-9,180,Jr,31,6,49.9,85.4,19.6,25.4,38.8,41.8,1.7,13,13,14,0,1.6,1.8,2.6,11.2,23,25,0.92,39,92,0.424,32,132,0.242,NA,NA,NA,377,NA,NA,NA,NA,NA,405,NA,NA,108,NA,NA,NA,NA,NA,National Rank,Alabama St.,2020,40739
Role Player,13,AJ Farrar,6-5,205,Sr,26,1,28.6,100.8,18,20.2,52.9,53.1,8.5,10.9,10.9,17.2,2.1,1.9,5.7,2.9,20.6,11,21,0.524,39,67,0.582,10,35,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,43426
Role Player,24,Kevion Stewart,6-3,190,Jr,26,10,25.3,75.8,19.4,23.8,34.4,37.6,2.8,5.6,5.6,14.4,1.4,2.4,4.6,3.5,24.5,16,26,0.615,14,36,0.389,15,70,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,47170
Role Player,4,Jeremy Hamilton,6-3,200,Jr,25,5,23.1,77.1,18.9,20.7,40.5,42.3,1.9,7,7,20.2,0.4,1.1,4.9,3.7,32.1,14,27,0.519,16,39,0.41,12,45,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,46939
Role Player,35,Tyrese Robinson,6-8,220,Jr,16,6,21.1,80.7,18.1,17.5,39.2,42.1,9.1,5,5,20.9,4.1,1.7,6.1,3.9,43.1,15,28,0.536,21,52,0.404,3,13,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,46946
Limited Role,0,DJ Heath,6-0,185,Jr,32,23,60.9,84.9,14.5,11.6,50.4,52.1,2,20,20.4,33.4,0.1,1.5,3.4,2.6,33.6,25,42,0.595,33,74,0.446,20,51,0.392,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama St.,2020,40514
Limited Role,11,Austin Rogers,6-4,195,Jr,28,2,26.7,89.6,15.3,18.5,46,44.2,5.2,10.7,10.7,15.1,2.9,3.3,3.7,2.2,13.8,2,12,0.167,19,40,0.475,14,47,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,38117
Benchwarmer,21,Mike Stone,6-9,260,Jr,16,6,9,60.9,15.3,13.3,38.1,40.1,6.8,1.9,1.9,38.5,0.9,0.5,8.3,2,14.3,2,3,0.667,8,21,0.381,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2020,46942
Go-to Guys,4,Ahmad Clark,6-1,175,Sr,31,30,80.6,94.1,32.5,31,44.5,51.3,2.4,32.6,32.6,21.4,0.9,2.8,2.9,5.9,40.6,142,173,0.821,119,270,0.441,47,156,0.301,325,NA,25,53,NA,NA,NA,NA,48,NA,NA,259,NA,84,304,202,NA,NA,National Rank,Albany,2020,40066
Major Contributor,11,Cameron Healy,6-3,190,So,30,22,73.4,100,24.7,27.3,49.6,55,1,17.6,17.6,18.1,0.6,1.6,2,4,28.1,87,96,0.906,54,124,0.435,77,218,0.353,NA,NA,366,238,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,11,NA,NA,National Rank,Albany,2020,40274
